"PAXDAYWH.Code.or.Value","PAXDAYWH.Value.Description","PAXDAYWH.Count","PAXDAYWH.Cumulative","PAXDAYWH.Skip.to.Item"
"1","Sunday",230363,230363,NA
"2","Monday",219239,449602,NA
"3","Tuesday",209524,659126,NA
"4","Wednesday",202194,861320,NA
"5","Thursday",201457,1062777,NA
"6","Friday",201749,1264526,NA
"7","Saturday",212519,1477045,NA
"< blank >","Missing",0,1477045,NA
