"PSQ100D.Code.or.Value","PSQ100D.Value.Description","PSQ100D.Count","PSQ100D.Cumulative","PSQ100D.Skip.to.Item"
"1","Yes",17,17,NA
"2","No",14,31,NA
"7","Refused",0,31,NA
"9","Don't know",2,33,NA
".","Missing",88,121,NA
