"AUXRR267.Code.or.Value","AUXRR267.Value.Description","AUXRR267.Count","AUXRR267.Cumulative","AUXRR267.Skip.to.Item"
"1 to 34","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
