"AUDTYL37.Code.or.Value","AUDTYL37.Value.Description","AUDTYL37.Count","AUDTYL37.Cumulative","AUDTYL37.Skip.to.Item"
"0 to 2.31","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
