"LBD151LC.Code.or.Value","LBD151LC.Value.Description","LBD151LC.Count","LBD151LC.Cumulative","LBD151LC.Skip.to.Item"
"0","At or above the detection limit",48,48,NA
"1","Below lower detection limit",199,247,NA
".","Missing",0,247,NA
