"WBXP105.Code.or.Value","WBXP105.Value.Description","WBXP105.Count","WBXP105.Cumulative","WBXP105.Skip.to.Item"
"-141.4786 to 161.5004","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
