"SSCYPC.Code.or.Value","SSCYPC.Value.Description","SSCYPC.Count","SSCYPC.Cumulative","SSCYPC.Skip.to.Item"
"0.47 to 7.15","Range of Values",2471,2471,NA
".","Missing",37,2508,NA
