"CVDR3DI.Code.or.Value","CVDR3DI.Value.Description","CVDR3DI.Count","CVDR3DI.Cumulative","CVDR3DI.Skip.to.Item"
"39 to 129","Range of Values",1901,1901,NA
".","Missing",2701,4602,NA
