"DX2RALI.Code.or.Value","DX2RALI.Value.Description","DX2RALI.Count","DX2RALI.Cumulative","DX2RALI.Skip.to.Item"
"1419.4 to 6788.7","Range of Values",464,464,NA
".","Missing",21,485,NA
