"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"70 to 226","Range of Values",408,408,NA
".","Missing",9845,10253,NA
