"FFQ0043.Code.or.Value","FFQ0043.Value.Description","FFQ0043.Count","FFQ0043.Cumulative","FFQ0043.Skip.to.Item"
1,"Yes",2430,2430,""
2,"No",3727,6157,"FFQ0044"
88,"Blank",313,6470,""
99,"Error",2,6472,""
