"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"35 to 90","Range of Values",8,8,NA
"666","No response",0,8,NA
"888","Could not obtain",0,8,NA
".","Missing",2360,2368,NA
