"FSD650ZW.Code.or.Value","FSD650ZW.Value.Description","FSD650ZW.Count","FSD650ZW.Cumulative","FSD650ZW.Skip.to.Item"
"1","Yes",158,158,""
"2","No",118,276,"End of Section"
"7","Refused",0,276,"End of Section"
"9","Don't know",0,276,"End of Section"
".","Missing",10261,10537,""
