"AUDTYL27.Code.or.Value","AUDTYL27.Value.Description","AUDTYL27.Count","AUDTYL27.Cumulative","AUDTYL27.Skip.to.Item"
"0 to 2.72","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
