"SMDANY.Code.or.Value","SMDANY.Value.Description","SMDANY.Count","SMDANY.Cumulative","SMDANY.Skip.to.Item"
"1","Yes",1271,1271,NA
"2","No",4884,6155,NA
"7","Refused",2,6157,NA
"9","Don't know",0,6157,NA
".","Missing",587,6744,NA
