"AUXLR136.Code.or.Value","AUXLR136.Value.Description","AUXLR136.Count","AUXLR136.Cumulative","AUXLR136.Skip.to.Item"
"-17 to 118","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
