"OPX1ODBS.Code.or.Value","OPX1ODBS.Value.Description","OPX1ODBS.Count","OPX1ODBS.Cumulative","OPX1ODBS.Skip.to.Item"
"0","Test not performed",29,29,NA
"1","0/3",2929,2958,NA
"2","1/3",326,3284,NA
"3","2/3",47,3331,NA
"4","3/3",21,3352,NA
".","Missing",511,3863,NA
