"OSD110d.Code.or.Value","OSD110d.Value.Description","OSD110d.Count","OSD110d.Cumulative","OSD110d.Skip.to.Item"
"27 to 71","Range of Values",14,14,NA
"80","80 or older",0,14,NA
"777","Refused",0,14,NA
"999","Don't know",0,14,NA
".","Missing",5921,5935,NA
