"BPXPULS.Code.or.Value","BPXPULS.Value.Description","BPXPULS.Count","BPXPULS.Cumulative","BPXPULS.Skip.to.Item"
"1","Regular",9215,9215,NA
"2","Irregular",171,9386,NA
".","Missing",376,9762,NA
