"FSD071.Code.or.Value","FSD071.Value.Description","FSD071.Count","FSD071.Cumulative","FSD071.Skip.to.Item"
"1","Yes",707,707,NA
"2","No",2839,3546,NA
"7","Refused",3,3549,NA
"9","Don't know",0,3549,NA
".","Missing",6207,9756,NA
