"MCQ160k.Code.or.Value","MCQ160k.Value.Description","MCQ160k.Count","MCQ160k.Cumulative","MCQ160k.Skip.to.Item"
"1","Yes",395,395,NA
"2","No",5168,5563,NA
"7","Refused",0,5563,NA
"9","Don't know",6,5569,NA
".","Missing",3328,8897,NA
