"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",2003,2003,NA
"1","Below lower detection limit",652,2655,NA
".","Missing",324,2979,NA
