"DR1TRET.Code.or.Value","DR1TRET.Value.Description","DR1TRET.Count","DR1TRET.Cumulative","DR1TRET.Skip.to.Item"
"0 to 10565","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
