"DS1TPHOS.Code.or.Value","DS1TPHOS.Value.Description","DS1TPHOS.Count","DS1TPHOS.Cumulative","DS1TPHOS.Skip.to.Item"
"3.4 to 760","Range of Values",684,684,NA
".","Missing",8654,9338,NA
