"TYXP065.Code.or.Value","TYXP065.Value.Description","TYXP065.Count","TYXP065.Cumulative","TYXP065.Skip.to.Item"
"-124 to 132","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
