"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"18 to 2742","Range of Values",3357,3357,NA
".","Missing",224,3581,NA
