"PUD060.Code.or.Value","PUD060.Value.Description","PUD060.Count","PUD060.Cumulative","PUD060.Skip.to.Item"
"1","Yes",1340,1340,""
"2","No",5321,6661,"End of Section"
".","Missing",4378,11039,""
