"DR2TKCAL.Code.or.Value","DR2TKCAL.Value.Description","DR2TKCAL.Count","DR2TKCAL.Cumulative","DR2TKCAL.Skip.to.Item"
"0 to 9119","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
