"LBDVIDMS.Code.or.Value","LBDVIDMS.Value.Description","LBDVIDMS.Count","LBDVIDMS.Cumulative","LBDVIDMS.Skip.to.Item"
"9.1 to 198","Range of Values",8294,8294,NA
".","Missing",885,9179,NA
