"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"6 to 7337","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
