"DXXPT55Y.Code.or.Value","DXXPT55Y.Value.Description","DXXPT55Y.Count","DXXPT55Y.Cumulative","DXXPT55Y.Skip.to.Item"
"99.5 to 310.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
