"AUXLR221.Code.or.Value","AUXLR221.Value.Description","AUXLR221.Count","AUXLR221.Cumulative","AUXLR221.Skip.to.Item"
"-33 to 55","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
