"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 70","Range of Values",1139,1139,NA
"666","No response",0,1139,NA
"888","Could not obtain",3,1142,NA
".","Missing",68,1210,NA
