"ENXTR3G.Code.or.Value","ENXTR3G.Value.Description","ENXTR3G.Count","ENXTR3G.Cumulative","ENXTR3G.Skip.to.Item"
"1","Acceptable measurement",1277,1277,NA
"2","Could Not Obtain",28,1305,NA
"3","< 5 ppb",128,1433,NA
"4","> 300 ppb",1,1434,NA
".","Missing",6061,7495,NA
