"BPQ090D.Code.or.Value","BPQ090D.Value.Description","BPQ090D.Count","BPQ090D.Cumulative","BPQ090D.Skip.to.Item"
"1","Yes",690,690,NA
"2","No",644,1334,NA
"7","Refused",0,1334,NA
"9","Don't know",2,1336,NA
".","Missing",5298,6634,NA
