"LBXACR.Code.or.Value","LBXACR.Value.Description","LBXACR.Count","LBXACR.Cumulative","LBXACR.Skip.to.Item"
"2.12 to 910","Range of Values",7101,7101,NA
".","Missing",1455,8556,NA
