"WBXP065.Code.or.Value","WBXP065.Value.Description","WBXP065.Count","WBXP065.Cumulative","WBXP065.Skip.to.Item"
"-114.159 to 167.1573","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
