"CIQP13D.Code.or.Value","CIQP13D.Value.Description","CIQP13D.Count","CIQP13D.Cumulative","CIQP13D.Skip.to.Item"
"1","Yes",27,27,NA
"2","No",80,107,NA
"7","Refused",0,107,NA
"9","Don't know",1,108,NA
".","Missing",742,850,NA
