"BPXOSY2.Code.or.Value","BPXOSY2.Value.Description","BPXOSY2.Count","BPXOSY2.Cumulative","BPXOSY2.Skip.to.Item"
"54 to 222","Range of Values",6123,6123,NA
".","Missing",1009,7132,NA
