"DR2ICAFF.Code.or.Value","DR2ICAFF.Value.Description","DR2ICAFF.Count","DR2ICAFF.Cumulative","DR2ICAFF.Skip.to.Item"
"0 to 1717","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
