"TYXA153.Code.or.Value","TYXA153.Value.Description","TYXA153.Count","TYXA153.Cumulative","TYXA153.Skip.to.Item"
"0.205 to 6.668","Range of Values",5782,5782,NA
".","Missing",2687,8469,NA
