"DR2TPFAT.Code.or.Value","DR2TPFAT.Value.Description","DR2TPFAT.Count","DR2TPFAT.Cumulative","DR2TPFAT.Skip.to.Item"
"0 to 117.203","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
