"AUXLR134.Code.or.Value","AUXLR134.Value.Description","AUXLR134.Count","AUXLR134.Cumulative","AUXLR134.Skip.to.Item"
"-54 to 38","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
