"PAXTMH.Code.or.Value","PAXTMH.Value.Description","PAXTMH.Count","PAXTMH.Cumulative","PAXTMH.Skip.to.Item"
"1 to 60","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
