"LBC028LA.Code.or.Value","LBC028LA.Value.Description","LBC028LA.Count","LBC028LA.Cumulative","LBC028LA.Skip.to.Item"
"0.2121 to 7.525","Range of Values",299,299,NA
".","Missing",2,301,NA
