"DSQIVB6.Code.or.Value","DSQIVB6.Value.Description","DSQIVB6.Count","DSQIVB6.Cumulative","DSQIVB6.Skip.to.Item"
"0.012 to 300","Range of Values",2761,2761,NA
".","Missing",6798,9559,NA
