"DCQ250.Code.or.Value","DCQ250.Value.Description","DCQ250.Count","DCQ250.Cumulative","DCQ250.Skip.to.Item"
"1","Smooth and Cleanable",704,704,NA
"2","Not Smooth and Cleanable",94,798,NA
".","Missing",287,1085,NA
