"LEXBRP1.Code.or.Value","LEXBRP1.Value.Description","LEXBRP1.Count","LEXBRP1.Cumulative","LEXBRP1.Skip.to.Item"
"57 to 250","Range of Values",2642,2642,NA
".","Missing",444,3086,NA
