"LBXTSH1.Code.or.Value","LBXTSH1.Value.Description","LBXTSH1.Count","LBXTSH1.Cumulative","LBXTSH1.Skip.to.Item"
"0.002 to 280.76","Range of Values",6265,6265,NA
".","Missing",652,6917,NA
