"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",71,71,""
"2","No",5500,5571,"DRD370I"
".","Missing",4379,9950,""
