"DRD370AQ.Code.or.Value","DRD370AQ.Value.Description","DRD370AQ.Count","DRD370AQ.Cumulative","DRD370AQ.Skip.to.Item"
"1 to 27","Range of Values",551,551,NA
".","Missing",8153,8704,NA
