"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 5.775","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
