"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.2758 to 44.78","Range of Values",2585,2585,NA
".","Missing",109,2694,NA
