"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"21 to 479","Range of Values",2972,2972,NA
".","Missing",219,3191,NA
