"MCD093.Code.or.Value","MCD093.Value.Description","MCD093.Count","MCD093.Cumulative","MCD093.Skip.to.Item"
"1","Before 1972",125,125,NA
"2","1972 - 1991",180,305,NA
"3","1992 to present",380,685,NA
"7","Refused",0,685,NA
"9","Don't know",24,709,NA
".","Missing",8655,9364,NA
