"RFXC018.Code.or.Value","RFXC018.Value.Description","RFXC018.Count","RFXC018.Cumulative","RFXC018.Skip.to.Item"
"-5.956 to 3.779","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
