"DR2TFIBE.Code.or.Value","DR2TFIBE.Value.Description","DR2TFIBE.Count","DR2TFIBE.Cumulative","DR2TFIBE.Skip.to.Item"
"0 to 112.9","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
