"WTSAU24.Code.or.Value","WTSAU24.Value.Description","WTSAU24.Count","WTSAU24.Cumulative","WTSAU24.Skip.to.Item"
"0 to 478324.52134","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
