"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.016 to 4.82","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
