"CVAWG1.Code.or.Value","CVAWG1.Value.Description","CVAWG1.Count","CVAWG1.Cumulative","CVAWG1.Skip.to.Item"
"0 to 5","Range of Values",3437,3437,NA
".","Missing",1715,5152,NA
