"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",1695,1695,NA
"1","Below lower detection limit",538,2233,NA
".","Missing",199,2432,NA
