"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0.08 to 25000","Range of Values",1760,1760,NA
".","Missing",8053,9813,NA
