"ECD070B.Code.or.Value","ECD070B.Value.Description","ECD070B.Count","ECD070B.Cumulative","ECD070B.Skip.to.Item"
"0 to 15","Range of Values",3586,3586,NA
"7777","Refused",0,3586,NA
"9999","Don't know",0,3586,NA
".","Missing",62,3648,NA
