"DR2IPROT.Code.or.Value","DR2IPROT.Value.Description","DR2IPROT.Count","DR2IPROT.Cumulative","DR2IPROT.Skip.to.Item"
"0 to 213.46","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
